dataset_type,video_name,min_cutoff,beta,d_cutoff,frame_count,noise_reduction,displacement_reduction,shoulder_velocity_retention
normal,Bush_Wave_vs__Obama_Wave_and_Which_Commander-in-chief_Salutes_the_Best__You_Decide_wave_u_cm_np1_fr_med_1.avi,2.0,0.02,1.0,84,38.34173396600454,62.79881306487711,36.356943868472165
normal,Bush_Wave_vs__Obama_Wave_and_Which_Commander-in-chief_Salutes_the_Best__You_Decide_wave_u_cm_np1_fr_med_3.avi,2.0,0.02,1.0,79,42.110690947803796,66.5511803932975,24.6618246894625
normal,Bush_Wave_vs__Obama_Wave_and_Which_Commander-in-chief_Salutes_the_Best__You_Decide_wave_u_cm_np1_fr_med_4.avi,2.0,0.02,1.0,79,14.719839083342478,44.029862103506105,49.020158308439306
normal,Bush_Wave_vs__Obama_Wave_and_Which_Commander-in-chief_Salutes_the_Best__You_Decide_wave_u_cm_np1_fr_med_5.avi,2.0,0.02,1.0,96,12.395553242837142,53.27382828095825,49.12460595702801
normal,CharlieAndTheChocolateFactory_sit_f_nm_np1_fr_med_3.avi,2.0,0.02,1.0,54,43.80351788253334,60.510969931498224,75.87243436737883
normal,EVOLUTION_wave_u_nm_np1_fr_med_18.avi,2.0,0.02,1.0,101,-2.515586954476978,37.07367154500777,53.51809545357672
normal,Faith_Rewarded_run_f_cm_np1_le_med_16.avi,2.0,0.02,1.0,54,70.47270725773146,70.4625308499342,29.531483711695422
normal,KUNG_FU_HUSTLE_sit_f_nm_np1_fr_med_43.avi,2.0,0.02,1.0,79,39.37596458685374,69.865718709427,20.476667575657522
normal,likebeckam_sit_f_cm_np1_ba_med_35.avi,2.0,0.02,1.0,50,46.002894415790585,67.42301131814206,25.86755529865512
normal,likebeckam_sit_f_cm_np1_fr_med_26.avi,2.0,0.02,1.0,50,39.68910963353585,60.86884507328658,28.97482251108197
normal,likebeckam_sit_f_cm_np1_le_med_28.avi,2.0,0.02,1.0,73,29.555026945358875,20.263815466617274,63.79777661169984
normal,likebeckam_sit_f_nm_np1_le_bad_29.avi,2.0,0.02,1.0,24,57.70855689687715,64.65373052925864,40.62033288405383
normal,LONGESTYARD_sit_f_nm_np1_ba_med_29.avi,2.0,0.02,1.0,47,36.294485975115755,68.6746972527924,31.480718833586124
normal,LONGESTYARD_sit_u_nm_np1_ba_med_8.avi,2.0,0.02,1.0,72,56.50662408852845,67.84439199030416,25.95965283821568
normal,Man_Who_Cheated_Himself_512kb_sit_u_cm_np1_fr_med_3.avi,2.0,0.02,1.0,77,-1.4755217177543578,42.54857434276753,43.229053157487364
normal,MUSE_Wave_Goodbye_in_Wembley_wave_u_cm_np3_fr_med_1.avi,2.0,0.02,1.0,131,18.133394009504265,52.605540507731206,51.47247371186929
normal,NOVA_ELEGANTUNIVERSE3_sit_f_nm_np1_fr_med_2.avi,2.0,0.02,1.0,53,11.16514726529736,63.311741077000946,27.378069530075404
normal,TheBoondockSaints_sit_f_cm_np1_ri_med_42.avi,2.0,0.02,1.0,78,6.558081420815154,58.25310437168469,35.05025837526303
normal,TrumanShow_sit_f_nm_np1_le_med_37.avi,2.0,0.02,1.0,49,34.35993970250563,63.28038179815203,30.0473897066232
fall,video (1).avi,2.0,0.02,1.0,157,4.598088996820648,39.02295001474534,66.844500761497
fall,video (10).avi,2.0,0.02,1.0,312,5.903045854775513,33.86368885876531,60.80191741260952
fall,video (11).avi,2.0,0.02,1.0,312,12.43285165136071,33.62316119650674,80.2634210452298
fall,video (12).avi,2.0,0.02,1.0,216,11.773979235735466,43.25339163778064,67.77199264869284
fall,video (13).avi,2.0,0.02,1.0,240,6.621145797793693,37.709265666397485,55.760472577314324
fall,video (14).avi,2.0,0.02,1.0,288,21.724447120994682,41.85795973777567,57.69101096954371
fall,video (15).avi,2.0,0.02,1.0,593,0.9190202169623407,41.3939562743764,61.64852746918432
fall,video (16).avi,2.0,0.02,1.0,870,10.377146421903882,38.169591285302985,54.03836735321968
fall,video (17).avi,2.0,0.02,1.0,506,2.663399750018014,36.78606397101417,55.84173858601355
fall,video (18).avi,2.0,0.02,1.0,1052,1.3951814893782055,38.15590226491054,60.0486305947454
fall,video (19).avi,2.0,0.02,1.0,818,2.0653170942416255,41.533224857143225,63.558887735711224
fall,video (2).avi,2.0,0.02,1.0,306,0.16766581575515804,41.565661370342276,42.1510207117278
fall,video (20).avi,2.0,0.02,1.0,298,3.619312290660459,40.098203245862905,54.46356131309982
